user_id,platform,marketing_source,user_segment,variant,application_started,kyc_completed,account_opened,first_purchase,engaged_30d,active_at_90_days,resumed_usage_90d,purchases_30d,spend_30_days
C0001,iOS,Organic,Young Professional,Control,1,1,1,1,1,1,0,2,36.00
C0002,iOS,Organic,Young Professional,Treatment,1,1,1,1,1,1,0,2,36.00
C0003,Android,Referral,Student,Control,1,1,1,1,1,1,0,3,61.50
C0004,Android,Referral,Student,Treatment,1,1,1,1,1,1,0,3,61.50
C0005,Web,Paid Search,Family,Control,1,1,1,1,1,1,0,4,92.00
C0006,Web,Paid Search,Family,Treatment,1,1,1,1,1,1,0,4,92.00
C0007,iOS,Organic,Small Business,Control,1,1,1,1,1,1,0,5,127.50
C0008,iOS,Organic,Small Business,Treatment,1,1,1,1,1,1,0,5,127.50
C0009,Android,Referral,Young Professional,Control,1,1,1,1,1,1,0,6,168.00
C0010,Android,Referral,Young Professional,Treatment,1,1,1,1,1,1,0,6,168.00
C0011,Web,Paid Search,Student,Control,1,1,1,1,1,1,0,7,213.50
C0012,Web,Paid Search,Student,Treatment,1,1,1,1,1,1,0,7,213.50
C0013,iOS,Organic,Family,Control,1,1,1,1,1,1,0,8,264.00
C0014,iOS,Organic,Family,Treatment,1,1,1,1,1,1,0,8,264.00
C0015,Android,Referral,Small Business,Control,1,1,1,1,1,1,0,2,71.00
C0016,Android,Referral,Small Business,Treatment,1,1,1,1,1,1,0,2,71.00
C0017,Web,Paid Search,Young Professional,Control,1,1,1,1,1,1,0,3,114.00
C0018,Web,Paid Search,Young Professional,Treatment,1,1,1,1,1,1,0,3,114.00
C0019,iOS,Organic,Student,Control,1,1,1,1,1,1,0,4,72.00
C0020,iOS,Organic,Student,Treatment,1,1,1,1,1,1,0,4,72.00
C0021,Android,Referral,Family,Control,1,1,1,1,1,1,0,5,102.50
C0022,Android,Referral,Family,Treatment,1,1,1,1,1,1,0,5,102.50
C0023,Web,Paid Search,Small Business,Control,1,1,1,1,1,1,0,6,138.00
C0024,Web,Paid Search,Small Business,Treatment,1,1,1,1,1,1,0,6,138.00
C0025,iOS,Organic,Young Professional,Control,1,1,1,1,1,1,0,7,178.50
C0026,iOS,Organic,Young Professional,Treatment,1,1,1,1,1,1,0,7,178.50
C0027,Android,Referral,Student,Control,1,1,1,1,1,1,0,8,224.00
C0028,Android,Referral,Student,Treatment,1,1,1,1,1,1,0,8,224.00
C0029,Web,Paid Search,Family,Control,1,1,1,1,1,1,0,2,61.00
C0030,Web,Paid Search,Family,Treatment,1,1,1,1,1,1,0,2,61.00
C0031,iOS,Organic,Small Business,Control,1,1,1,1,1,1,0,3,99.00
C0032,iOS,Organic,Small Business,Treatment,1,1,1,1,1,1,0,3,99.00
C0033,Android,Referral,Young Professional,Control,1,1,1,1,1,1,0,4,142.00
C0034,Android,Referral,Young Professional,Treatment,1,1,1,1,1,1,0,4,142.00
C0035,Web,Paid Search,Student,Control,1,1,1,1,1,1,0,5,190.00
C0036,Web,Paid Search,Student,Treatment,1,1,1,1,1,1,0,5,190.00
C0037,iOS,Organic,Family,Control,1,1,1,1,1,1,0,6,108.00
C0038,iOS,Organic,Family,Treatment,1,1,1,1,1,1,0,6,108.00
C0039,Android,Referral,Small Business,Control,1,1,1,1,1,1,0,7,143.50
C0040,Android,Referral,Small Business,Treatment,1,1,1,1,1,1,0,7,143.50
C0041,Web,Paid Search,Young Professional,Control,1,1,1,1,1,1,0,8,184.00
C0042,Web,Paid Search,Young Professional,Treatment,1,1,1,1,1,1,0,8,184.00
C0043,iOS,Organic,Student,Control,1,1,1,1,1,1,0,2,51.00
C0044,iOS,Organic,Student,Treatment,1,1,1,1,1,1,0,2,51.00
C0045,Android,Referral,Family,Control,1,1,1,1,1,1,0,3,84.00
C0046,Android,Referral,Family,Treatment,1,1,1,1,1,1,0,3,84.00
C0047,Web,Paid Search,Small Business,Control,1,1,1,1,1,1,0,4,122.00
C0048,Web,Paid Search,Small Business,Treatment,1,1,1,1,1,1,0,4,122.00
C0049,iOS,Organic,Young Professional,Control,1,1,1,1,1,1,0,5,165.00
C0050,iOS,Organic,Young Professional,Treatment,1,1,1,1,1,1,0,5,165.00
C0051,Android,Referral,Student,Control,1,1,1,1,1,1,0,6,213.00
C0052,Android,Referral,Student,Treatment,1,1,1,1,1,1,0,6,213.00
C0053,Web,Paid Search,Family,Control,1,1,1,1,1,1,0,7,266.00
C0054,Web,Paid Search,Family,Treatment,1,1,1,1,1,1,0,7,266.00
C0055,iOS,Organic,Small Business,Control,1,1,1,1,1,1,0,8,144.00
C0056,iOS,Organic,Small Business,Treatment,1,1,1,1,1,1,0,8,144.00
C0057,Android,Referral,Young Professional,Control,1,1,1,1,1,1,0,2,41.00
C0058,Android,Referral,Young Professional,Treatment,1,1,1,1,1,1,0,2,41.00
C0059,Web,Paid Search,Student,Control,1,1,1,1,1,1,0,3,69.00
C0060,Web,Paid Search,Student,Treatment,1,1,1,1,1,1,0,3,69.00
C0061,iOS,Organic,Family,Control,1,1,1,1,1,1,0,4,102.00
C0062,iOS,Organic,Family,Treatment,1,1,1,1,1,1,0,4,102.00
C0063,Android,Referral,Small Business,Control,1,1,1,1,1,1,0,5,140.00
C0064,Android,Referral,Small Business,Treatment,1,1,1,1,1,1,0,5,140.00
C0065,Web,Paid Search,Young Professional,Control,1,1,1,1,1,1,0,6,183.00
C0066,Web,Paid Search,Young Professional,Treatment,1,1,1,1,1,1,0,6,183.00
C0067,iOS,Organic,Student,Control,1,1,1,1,1,1,0,7,231.00
C0068,iOS,Organic,Student,Treatment,1,1,1,1,1,1,0,7,231.00
C0069,Android,Referral,Family,Control,1,1,1,1,1,1,0,8,284.00
C0070,Android,Referral,Family,Treatment,1,1,1,1,1,1,0,8,284.00
C0071,Web,Paid Search,Small Business,Control,1,1,1,1,1,1,0,2,76.00
C0072,Web,Paid Search,Small Business,Treatment,1,1,1,1,1,1,0,2,76.00
C0073,iOS,Organic,Young Professional,Control,1,1,1,1,1,1,0,3,54.00
C0074,iOS,Organic,Young Professional,Treatment,1,1,1,1,1,1,0,3,54.00
C0075,Android,Referral,Student,Control,1,1,1,1,1,1,0,4,82.00
C0076,Android,Referral,Student,Treatment,1,1,1,1,1,1,0,4,82.00
C0077,Web,Paid Search,Family,Control,1,1,1,1,1,1,0,5,115.00
C0078,Web,Paid Search,Family,Treatment,1,1,1,1,1,1,0,5,115.00
C0079,iOS,Organic,Small Business,Control,1,1,1,1,1,1,0,6,153.00
C0080,iOS,Organic,Small Business,Treatment,1,1,1,1,1,1,0,6,153.00
C0081,Android,Referral,Young Professional,Control,1,1,1,1,1,1,0,7,196.00
C0082,Android,Referral,Young Professional,Treatment,1,1,1,1,1,1,0,7,196.00
C0083,Web,Paid Search,Student,Control,1,1,1,1,1,1,0,8,244.00
C0084,Web,Paid Search,Student,Treatment,1,1,1,1,1,1,0,8,244.00
C0085,iOS,Organic,Family,Control,1,1,1,1,1,1,0,2,66.00
